artist,GDP,Corruption Perception Index,Human Development Index,Gender Inequality Index,Unemployment Rate,Happiness Score
Post Malone,1858938559,65.83050847,0.877262712,0.737847458,6.059322034,6.571
Drake,1864445808,61.72847682,0.861205298,0.734245033,6.517880795,6.454
Kendrick Lamar,2512437135,65.27027027,0.883108108,0.734513514,6.278378378,6.480
Lil Uzi Vert,1292257455,66.81818182,0.885363636,0.736818182,6.836363636,6.435
The Chainsmokers,8978262485,58.17751479,0.839763314,0.727721893,6.165680473,6.333
Ed Sheeran,8150685294,59.74789916,0.845478992,0.733457983,5.971848739,6.431
Khalid,2273191826,65.86956522,0.867347826,0.735869565,5.204347826,6.598
Travis Scott,3945070818,59.45454545,0.861181818,0.730818182,5.5,6.297
Luis Fonsi,7871088242,56.57142857,0.83443956,0.728252747,6.701098901,6.358
French Montana,1254600567,69.16666667,0.8934,0.7462,6.883333333,6.632
Justin Bieber,1094338944,60.96031746,0.853801587,0.736261905,6.520634921,6.479
Dua Lipa,8317316905,57.69047619,0.842464286,0.723833333,6.336904762,6.314
James Arthur,1051803387,66.32258065,0.876580645,0.738677419,6.125806452,6.486
Enrique Iglesias,4471658148,44.62962963,0.781407407,0.722555556,7.677777778,6.153
Shakira,374366069,41.72413793,0.769137931,0.718655172,7.468965517,6.070
Maluma,3016982075,38.24528302,0.746283019,0.719339623,6.605660377,6.070
Danny Ocean,341318375,41.5,0.7581875,0.7174375,6.84375,6.114
Clean Bandit,7060526489,64.75531915,0.874744681,0.735170213,6.421276596,6.468
Natti Natasha,2754400625,38.25,0.7440625,0.719375,6.71875,6.081
Zion & Lennox,2418426552,38.96551724,0.743206897,0.71662069,6.786206897,6.054
Wisin,2429365455,39.12121212,0.745909091,0.719060606,6.784848485,6.057
CNCO,2690453636,38.18181818,0.743,0.721363636,6.624242424,6.091
Ozuna,2024531546,38.13402062,0.743608247,0.714113402,6.383505155,6.051
Chris Jeday,2636505294,37.70588235,0.743588235,0.718058824,6.647058824,6.035
Flume,5399413333,74.83333333,0.902833333,0.757,6.166666667,6.846
The Weeknd,1174646654,60.95061728,0.851901235,0.741493827,6.756790123,6.399
Axwell /\ Ingrosso,5042267308,65.5,0.882692308,0.732538462,6.638461538,6.470
Bausa,121065725,80.75,0.923,0.737,4.525,7.125
Imagine Dragons,9265705745,58.73404255,0.855265957,0.723297872,6.639361702,6.324
Alan Walker,48077584,58.54,0.8393,0.73258,6.378,6.389
Camila Cabello,1022992404,61.19230769,0.855230769,0.729461538,6.292307692,6.391
Martin Jensen,5712273158,72.63157895,0.905263158,0.749578947,5.615789474,6.820
Major Lazer,7364178879,61.71551724,0.856577586,0.737663793,6.859482759,6.480
John Legend,3694013636,66.18181818,0.861363636,0.765272727,7.8,6.898
Piso 21,2427449615,39.34615385,0.746461538,0.717826923,6.617307692,6.116
Manuel Turizo,2277396957,36.73913043,0.738608696,0.717782609,6.391304348,6.062
Sebastian Yatra,2174391136,37.61363636,0.736840909,0.717818182,6.234090909,6.075
Alok,2054969,37,0.759,0.684,13.1,6.419
1Kilo,2054969,37,0.759,0.684,13.1,6.419
Anitta,6573049565,40.13043478,0.75626087,0.712956522,8.365217391,6.096
Henrique & Juliano,2054969,37,0.759,0.684,13.1,6.419
Henrique & Diego,2054969,37,0.759,0.684,13.1,6.419
Jorge & Mateus,2054969,37,0.759,0.684,13.1,6.419
Simone & Simaria,2054969,37,0.759,0.684,13.1,6.419
Mc Livinho,2054969,37,0.759,0.684,13.1,6.419
MC's Jhowzinho & Kadinho,2054969,37,0.759,0.684,13.1,6.419
Anuel Aa,238647,38.3,0.7427,0.7124,6.7,6.041
Carlos Vives,2833697742,38.5483871,0.745419355,0.720709677,6.725806452,6.094
Nicky Jam,3637819167,43.16666667,0.769736111,0.721055556,6.648611111,6.213
Kygo,4296586032,67.17460317,0.880936508,0.743888889,5.988888889,6.592
Lukas Graham,5685507931,71.55172414,0.895172414,0.750517241,5.6,6.766
Blak,324484,88,0.929,0.776,5.8,7.555
Mike Posner,9114259388,59.36734694,0.846122449,0.733102041,6.632653061,6.427
Farruko,1499705455,36.22727273,0.724136364,0.710409091,5.809090909,5.941
Nio Garcia,3531636667,39.88888889,0.759055556,0.715777778,6.85,6.107
Chino & Nacho,2754400625,38.25,0.7440625,0.719375,6.71875,6.081
DJ Snake,5326516034,54.48275862,0.820431034,0.732413793,6.631034483,6.339
JVG,253244,85,0.92,0.823,8.7,7.632
Reino Nordin,253244,85,0.92,0.823,8.7,7.632
Evelina,253244,85,0.92,0.823,8.7,7.632
Antti Tuisku,253244,85,0.92,0.823,8.7,7.632
Niska,20793266,72.4,0.9016,0.7636,8.78,6.573
Damso,258356,70,0.901,0.778,9.5,6.489
Kalash,13229765,76,0.9025,0.742,7.7,6.700
Vald,258356,70,0.901,0.778,9.5,6.489
Lartiste,195326825,73,0.90175,0.76,8.6,6.594
Bonez MC,17763794,79.4,0.9264,0.7458,4.28,7.139
Charlie Puth,6315487143,53.63492063,0.818793651,0.717301587,5.717460317,6.050
Sia,4666201698,61.45283019,0.856396226,0.739377358,7.120754717,6.446
JóiPé,23909,77,0.935,0.878,2.8,7.495
Aron Can,23909,77,0.935,0.878,2.8,7.495
Chase,23909,77,0.935,0.878,2.8,7.495
Kaleo,23909,77,0.935,0.878,2.8,7.495
Birnir,23909,77,0.935,0.878,2.8,7.495
Payung Teduh,1015411,37,0.694,0.691,5.4,5.093
Marshmello,1025056386,64.80701754,0.877140351,0.723105263,5.912280702,6.480
Omer Adam,350609,62,0.903,0.721,4.3,7.190
Cardi B,227647335,59.65,0.8725,0.72735,8.035,6.320
Maroon 5,5850221429,51,0.807214286,0.711404762,5.461904762,6.125
Calvin Harris,6611353253,63.42168675,0.867373494,0.734566265,6.721686747,6.395
Sfera Ebbasta,1937894,50,0.88,0.692,11.4,6.000
Capo Plaza,1937894,50,0.88,0.692,11.4,6.000
Coez,1937894,50,0.88,0.692,11.4,6.000
Gemitaiz,1937894,50,0.88,0.692,11.4,6.000
Irama,1937894,50,0.88,0.692,11.4,6.000
J-AX,1937894,50,0.88,0.692,11.4,6.000
DAOKO×米津玄師,4872135,73,0.909,0.657,2.9,5.915
Shota Shimizu,4872135,73,0.909,0.657,2.9,5.915
ONE OK ROCK,4872135,73,0.909,0.657,2.9,5.915
AAA,4872135,73,0.909,0.657,2.9,5.915
Superfly,4872135,73,0.909,0.657,2.9,5.915
[Alexandros],4872135,73,0.909,0.657,2.9,5.915
Zedd,6858625405,60.62162162,0.85427027,0.71472973,5.145945946,6.330
MONGOL800,4872135,73,0.909,0.657,2.9,5.915
Vance Joy,5978212222,65.11111111,0.888666667,0.736888889,7.855555556,6.320
Robin Schulz,5611787391,67.34782609,0.890608696,0.730826087,6.091304348,6.553
Hozier,4040194,66.9,0.89045,0.747,6.53,6.558
Wolfine,2274026154,37.61538462,0.729923077,0.718846154,6.107692308,6.096
Lil' Kleine,7154076667,79.66666667,0.926,0.737666667,5.9,7.270
Broederliefde,825745,82,0.931,0.737,5.1,7.441
Avicii,5837872857,68.38095238,0.891357143,0.73952381,5.519047619,6.712
Freddy Kalas,396457,85,0.953,0.83,4,7.594
Passenger,3401649412,67.29411765,0.878470588,0.754117647,6.188235294,6.713
Hkeem,396457,85,0.953,0.83,4,7.594
Bad Bunny,2004614211,36.07894737,0.733,0.717973684,6.197368421,5.986
Up Dharma Down,313419,34,0.699,0.79,6,5.524
Bruno Mars,156825928,53.88,0.80372,0.722,4.824,6.194
Hailee Steinfeld,812775,63.29166667,0.858291667,0.724875,4.895833333,6.443
Moira Dela Torre,313419,34,0.699,0.79,6,5.524
TACONAFIDE,524886,60,0.865,0.728,4.8,6.123
Portugal. The Man,39617585,65.25,0.88715,0.72695,6.74,6.449
Arctic Monkeys,56902175,56.625,0.851625,0.725375,9.375,5.751
XXXTENTACION,2576124111,64.15555556,0.874311111,0.734088889,6.455555556,6.411
Dennis Lloyd,5467122778,63.27777778,0.880666667,0.728833333,6.033333333,6.402
Tyga,4585178,58.4,0.8644,0.7276,6.46,6.232
Becky G,3049437037,39.88888889,0.752851852,0.71562963,6.603703704,6.098
Gente De Zona,3065048,43,0.7709,0.7269,7.5,6.240
Lo & Leduc,678575,85,0.944,0.755,3,7.487
JJ Lin,323902,84,0.932,0.702,2.2,6.343
Eric Chou,323902,84,0.932,0.702,2.2,6.343
Pop Pongkool,455378,37,0.755,0.694,0.7,6.072
Atom Chanakan,455378,37,0.755,0.694,0.7,6.072
Fukking Hero,455378,37,0.755,0.694,0.7,6.072
Lipta,455378,37,0.755,0.694,0.7,6.072
Earth Patravee,455378,37,0.755,0.694,0.7,6.072
O-Pavee,455378,37,0.755,0.694,0.7,6.072
Room 39,455378,37,0.755,0.694,0.7,6.072
The Toys,455378,37,0.755,0.694,0.7,6.072
Ezhel,84948,40,0.791,0.625,11.2,5.483
Gazapizm,84948,40,0.791,0.625,11.2,5.483
LP,84948,40,0.791,0.625,11.2,5.483
My Tam,220408,35,0.694,0.698,2.3,5.103
BTS,831245125,40,0.7285,0.692375,2.175,5.326
Bich Phuong,220408,35,0.694,0.698,2.3,5.103
Min,220408,35,0.694,0.698,2.3,5.103