Pos;artist;title;Total;country
10;Post Malone ;rockstar;33953717;NLD
11;Lil' Kleine ;Loterij;32808023;NLD
12;Justin Bieber ;Sorry;32657721;NLD
13;Boef ;Habiba;32267292;NLD
14;Mike Posner ;I Took A Pill In Ibiza ;32249151;NLD
15;Calvin Harris ;One Kiss;31837353;NLD
16;Drake ;God's Plan;31826860;NLD
17;Ronnie Flex ;Blijf Bij Mij;31480494;NLD
18;Ronnie Flex ;Come Again;31277591;NLD
19;Lil' Kleine ;Alleen;31055504;NLD
20;Kygo ;It Ain't Me;30475957;NLD
21;Ed Sheeran ;Perfect;30344175;NLD
22;SFB ;Lovely Body;30086243;NLD
23;Josylvio ;Catch Up;30054464;NLD
24;French Montana ;Unforgettable;29863418;NLD
25;Sevn Alias ;Patsergedrag;29728497;NLD
1;Ed Sheeran ;Shape of You;17442454;NZL
2;The Chainsmokers ;Closer;13427523;NZL
3;Drake ;One Dance;13394330;NZL
4;Post Malone ;rockstar;12700691;NZL
5;Ed Sheeran ;Thinking Out Loud;12641167;NZL
6;Kendrick Lamar ;HUMBLE.;11267804;NZL
7;Justin Bieber ;Sorry;10985143;NZL
8;James Arthur ;Say You Won't Let Go;10963302;NZL
9;Post Malone ;I Fall Apart;10605635;NZL
10;Luis Fonsi ;Despacito ;10370924;NZL
11;Camila Cabello ;Havana;10354413;NZL
12;Justin Bieber ;Love Yourself;10300817;NZL
13;Dua Lipa ;New Rules;9646392;NZL
14;Imagine Dragons ;Thunder;9589527;NZL
15;Major Lazer ;Cold Water;9386999;NZL
16;Khalid ;Young Dumb & Broke;9357706;NZL
17;Ed Sheeran ;Castle on the Hill;9348761;NZL
18;Ed Sheeran ;Perfect;9308056;NZL
19;Flume ;Never Be Like You;9255999;NZL
20;Marshmello ;Silence;9181053;NZL
21;The Weeknd ;Starboy;9071952;NZL
22;Drake ;God's Plan;9021308;NZL
23;Major Lazer ;Lean On;8861516;NZL
24;Post Malone ;Congratulations;8665882;NZL
25;Justin Timberlake ;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";8602616;NZL
1;Danny Ocean ;Me Rehúso;1185577;NIC
2;Ed Sheeran ;Shape of You;1051323;NIC
3;Drake ;One Dance;945069;NIC
4;Zion & Lennox ;Otra Vez;929039;NIC
5;Luis Fonsi ;Despacito (Featuring Daddy Yankee);844218;NIC
6;DJ Snake ;Middle;842634;NIC
7;Mike Posner ;I Took A Pill In Ibiza ;828421;NIC
8;The Chainsmokers ;Closer;816034;NIC
9;DJ Snake ;Let Me Love You;782208;NIC
10;Anuel Aa ;Sola (Remix);700107;NIC
11;Ed Sheeran ;Thinking Out Loud;697616;NIC
12;Wisin ;Escápate Conmigo;687663;NIC
13;Chris Jeday ;Ahora Dice;649985;NIC
14;Carlos Vives ;La Bicicleta;637866;NIC
15;Maluma ;Felices los 4;626944;NIC
16;J Balvin ;Mi Gente;611046;NIC
17;Chino & Nacho ;Andas En Mi Cabeza;610159;NIC
18;CNCO ;Reggaetón Lento (Bailemos);591457;NIC
19;Justin Bieber ;Sorry;589756;NIC
20;Carlos Vives ;Robarte un Beso;584459;NIC
21;Bad Bunny ;Sensualidad;58052;NIC
22;Ed Sheeran ;Photograph;577204;NIC
23;Piso 21 ;Déjala Que Vuelva;577116;NIC
24;Major Lazer ;Lean On;571108;NIC
25;The Chainsmokers ;Don't Let Me Down;562896;NIC
1;Alan Walker ;Faded;43517308;NOR
2;Luis Fonsi ;Despacito ;37014186;NOR
3;Ed Sheeran ;Shape of You;36864264;NOR
4;Avicii ;Wake Me Up;31402474;NOR
5;Freddy Kalas ;Jovial;29314482;NOR
6;Kygo ;It Ain't Me;27339600;NOR
7;Post Malone ;rockstar;26666473;NOR
8;Passenger ;Let Her Go;26457082;NOR
9;Ed Sheeran ;I See Fire;25192563;NOR
10;Hkeem ;Fy Faen;24667729;NOR
11;Adele ;Hello;24360646;NOR
12;Mike Posner ;I Took A Pill In Ibiza ;23738142;NOR
13;Kygo ;Firestone;23487133;NOR
14;Ed Sheeran ;Thinking Out Loud;23051142;NOR
15;Hozier ;Take Me To Church;22273118;NOR
16;Sia ;Cheap Thrills;22189069;NOR
17;Kygo ;Stole the Show;21981039;NOR
18;ItaloBrothers ;Summer Air;21972084;NOR
19;Alan Walker ;Sing Me to Sleep;21956671;NOR
20;Drake ;One Dance;21778262;NOR
21;Justin Bieber ;Sorry;21649356;NOR
22;The Chainsmokers ;Don't Let Me Down;21173449;NOR
23;Mike Perry ;The Ocean;20696041;NOR
24;Sam Smith ;Stay With Me;20230723;NOR
25;Freddy Kalas ;Pinne for Landet;20054414;NOR
1;Danny Ocean ;Me Rehúso;3036546;PAN
2;Zion & Lennox ;Otra Vez;3008940;PAN
3;Ed Sheeran ;Shape of You;2683872;PAN
4;Luis Fonsi ;Despacito (Featuring Daddy Yankee);2497894;PAN
5;Anuel Aa ;Sola (Remix);2483093;PAN
6;Wisin ;Escápate Conmigo;2459278;PAN
7;Drake ;One Dance;2322269;PAN
8;Chris Jeday ;Ahora Dice;2271407;PAN
9;Natti Natasha ;Criminal;2129535;PAN
10;Nio Garcia ;Te Boté ;2077483;PAN
11;Piso 21 ;Déjala Que Vuelva;2027128;PAN
12;Ozuna ;Se Preparó;1985735;PAN
13;Chino & Nacho ;Andas En Mi Cabeza;1966792;PAN
14;Maluma ;Felices los 4;1962247;PAN
15;Carlos Vives ;Robarte un Beso;1943921;PAN
16;CNCO ;Reggaetón Lento (Bailemos);1942764;PAN
17;Bad Bunny ;Sensualidad;1882106;PAN
18;J Balvin ;Mi Gente;1874975;PAN
19;Nicky Jam ;El Amante;1861004;PAN
20;Ozuna ;Síguelo Bailando;1836815;PAN
21;Joey Montana ;Suena El Dembow;1836317;PAN
22;Ozuna ;Quiero Repetir;1717661;PAN
23;DJ Snake ;Let Me Love You;1709712;PAN
24;Nicky Jam ;X;1679547;PAN
25;Reik ;Me Niego;1674590;PAN
1;Danny Ocean ;Me Rehúso;4831126;PRY
2;Anuel Aa ;Sola (Remix);4310955;PRY
3;Piso 21 ;Déjala Que Vuelva;3976544;PRY
4;Zion & Lennox ;Otra Vez;3844364;PRY
5;Wisin ;Escápate Conmigo;3437861;PRY
6;Bad Bunny ;Sensualidad;3210353;PRY
7;Natti Natasha ;Criminal;3120569;PRY
8;Nio Garcia ;Te Boté ;3072697;PRY
9;Ed Sheeran ;Shape of You;3005836;PRY
10;Chris Jeday ;Ahora Dice;2856967;PRY
11;Ozuna ;Se Preparó;2693666;PRY
12;Luis Fonsi ;Despacito (Featuring Daddy Yankee);2693437;PRY
13;Maluma ;Felices los 4;2684515;PRY
14;Manuel Turizo ;Una Lady Como Tú;2683502;PRY
15;Zion & Lennox ;La Player (Bandolera);2656304;PRY
16;Ozuna ;Quiero Repetir;2591723;PRY
17;Wolfine ;Bella;2551907;PRY
18;Paulo Londra ;Nena Maldicion;2534097;PRY
19;Piso 21 ;Te Amo;2464166;PRY
20;Danny Ocean ;Dembow;2450879;PRY
21;Lenny Tavárez ;Toda ;2445569;PRY
22;Reik ;Me Niego;2421451;PRY
23;CNCO ;Reggaetón Lento (Bailemos);2320690;PRY
24;Alex Sensation ;Que Va;2299511;PRY
25;Don Omar ;Te Quiero Pa´Mi;2292805;PRY
1;Danny Ocean ;Me Rehúso;29483759;PER
2;Maluma ;Felices los 4;21672263;PER
3;Zion & Lennox ;Otra Vez;21052797;PER
4;Ed Sheeran ;Shape of You;20955934;PER
5;Luis Fonsi ;Despacito (Featuring Daddy Yankee);20774884;PER
6;Piso 21 ;Déjala Que Vuelva;20711817;PER
7;Wisin ;Escápate Conmigo;20193238;PER
8;Natti Natasha ;Criminal;18417522;PER
9;Carlos Vives ;Robarte un Beso;17315020;PER
10;Maluma ;Corazón;17004845;PER
11;Anuel Aa ;Sola (Remix);16909939;PER
12;CNCO ;Reggaetón Lento (Bailemos);16799100;PER
13;Chino & Nacho ;Andas En Mi Cabeza;16580614;PER
14;Manuel Turizo ;Una Lady Como Tú;16446034;PER
15;Nacho ;Báilame ;16165247;PER
16;Chris Jeday ;Ahora Dice;15803431;PER
17;Becky G ;Mayores;15749750;PER
18;Reik ;Me Niego;15416881;PER
19;Nicky Jam ;El Amante;15409081;PER
20;Nio Garcia ;Te Boté ;15253516;PER
21;Luis Fonsi ;Échame La Culpa;15067574;PER
22;Bad Bunny ;Sensualidad;15038282;PER
23;Piso 21 ;Me Llamas;14443503;PER
24;Nicky Jam ;X;14142539;PER
25;Joey Montana ;Suena El Dembow;13820119;PER
1;James Arthur ;Say You Won't Let Go;84315515;PHL
2;The Chainsmokers ;Closer;83248257;PHL
3;Up Dharma Down ;Tadhana;69745026;PHL
4;Ed Sheeran ;Shape of You;68895061;PHL
5;Bruno Mars ;Versace On The Floor;61146366;PHL
6;Ed Sheeran ;Photograph;61083809;PHL
7;Ed Sheeran ;Perfect;57597867;PHL
8;Hailee Steinfeld ;Starving;54259425;PHL
9;Bruno Mars ;That's What I Like;52630211;PHL
10;Moira Dela Torre ;Malaya (Camp Sawi Original Motion Picture Soundtrack);52117322;PHL
11;Silent Sanctuary ;Pasensya Ka Na;50100404;PHL
12;Camila Cabello ;Havana;45582906;PHL
13;Lauv ;I Like Me Better;44973864;PHL
14;LANY ;Super Far;44967417;PHL
15;Justin Bieber ;Love Yourself;44695587;PHL
16;Andy Grammer ;Fresh Eyes;44073883;PHL
17;The Chainsmokers ;Something Just Like This;44060292;PHL
18;Jonas Blue ;Perfect Strangers;43870686;PHL
19;Sud ;Sila;42913915;PHL
20;The Chainsmokers ;Don't Let Me Down;41882872;PHL
21;Khalid ;Young Dumb & Broke;41844081;PHL
22;DJ Snake ;Middle;41599435;PHL
23;The Chainsmokers ;Roses;41567215;PHL
24;Troye Sivan ;YOUTH;41280370;PHL
25;Charlie Puth ;We Don't Talk Anymore;41243851;PHL
1;Ed Sheeran ;Shape of You;23361693;POL
2;TACONAFIDE ;Tamagotchi;14958340;POL
3;Imagine Dragons ;Believer;13451184;POL
4;Major Lazer ;Lean On;12965061;POL
5;Axwell /\ Ingrosso ;More Than You Know;12711916;POL
6;Imagine Dragons ;Thunder;11487197;POL
7;Post Malone ;rockstar;11203008;POL
8;Camila Cabello ;Havana;11046497;POL
9;Portugal. The Man ;Feel It Still;10579904;POL
10;Imagine Dragons ;Radioactive;10401014;POL
11;Dua Lipa ;New Rules;10038818;POL
12;Robin Schulz ;Sugar;9793109;POL
13;Quebonafide ;Half Dead;9386338;POL
14;Vance Joy ;Riptide;9282300;POL
15;The Chainsmokers ;Closer;9216419;POL
16;Arctic Monkeys ;Do I Wanna Know?;9197745;POL
17;The Chainsmokers ;Something Just Like This;9105127;POL
18;Twenty One Pilots ;Stressed Out;9079959;POL
19;Major Lazer ;Light It Up;9079664;POL
20;DJ Snake ;Let Me Love You;8936966;POL
21;Shawn Mendes ;Treat You Better;8891555;POL
22;Macklemore & Ryan Lewis ;Can't Hold Us;8844733;POL
23;Sia ;Cheap Thrills;8686718;POL
24;Clean Bandit ;Symphony;8372685;POL
25;Ed Sheeran ;Perfect;8328956;POL
1;Ed Sheeran ;Shape of You;10556533;PRT
2;Drake ;One Dance;7571133;PRT
3;Luis Fonsi ;Despacito (Featuring Daddy Yankee);7158350;PRT
4;Post Malone ;rockstar;7078925;PRT
5;French Montana ;Unforgettable;6187592;PRT
6;The Weeknd ;Starboy;6185631;PRT
7;Arctic Monkeys ;Do I Wanna Know?;5780406;PRT
8;Dua Lipa ;New Rules;5421920;PRT
9;Camila Cabello ;Havana;5291628;PRT
10;Kendrick Lamar ;HUMBLE.;5236358;PRT
11;Justin Bieber ;Sorry;5226770;PRT
12;Lil Uzi Vert ;XO TOUR Llif3;5090527;PRT
13;James Arthur ;Say You Won't Let Go;5081895;PRT
14;Drake ;God's Plan;5070610;PRT
15;The Chainsmokers ;Closer;4978283;PRT
16;Ed Sheeran ;Thinking Out Loud;4959756;PRT
17;DJ Snake ;Let Me Love You;4864178;PRT
18;Imagine Dragons ;Believer;4804820;PRT
19;Major Lazer ;Cold Water;4754387;PRT
20;Major Lazer ;Lean On;4720455;PRT
21;Post Malone ;Congratulations;4698261;PRT
22;Ed Sheeran ;Photograph;4679903;PRT
23;Danny Ocean ;Me Rehúso;4674964;PRT
24;Mike Posner ;I Took A Pill In Ibiza ;4623404;PRT
25;The Chainsmokers ;Don't Let Me Down;4601755;PRT
1;XXXTENTACION ;SAD!;776346;ROU
2;Drake ;God's Plan;62436;ROU
3;Post Malone ;rockstar;585461;ROU
4;XXXTENTACION ;Moonlight;560881;ROU
5;Post Malone ;Better Now;560608;ROU
6;Calvin Harris ;One Kiss;557537;ROU
7;Drake ;In My Feelings;533532;ROU
8;Dennis Lloyd ;Nevermind;528643;ROU
9;Cardi B ;I Like It;52439;ROU
10;Tyga ;Taste;522067;ROU
11;The Weeknd ;Call Out My Name;49995;ROU
12;Post Malone ;Psycho;498243;ROU
13;Marshmello ;FRIENDS;48369;ROU
14;BlocBoy JB ;Look Alive;45752;ROU
15;Khalid ;Love Lies;447667;ROU
16;Clean Bandit ;Solo;443124;ROU
17;5 Seconds of Summer ;Youngblood;410653;ROU
18;Juice WRLD ;Lucid Dreams;396304;ROU
19;Maroon 5 ;Girls Like You;392079;ROU
20;Ariana Grande ;no tears left to cry;383114;ROU
21;Zedd ;The Middle;357697;ROU
22;Tiësto ;Jackie Chan;354406;ROU
23;XXXTENTACION ;Jocelyn Flores;352371;ROU
24;Migos ;Walk It Talk It;351383;ROU
25;Dua Lipa ;IDGAF;350369;ROU
1;Ed Sheeran ;Shape of You;20011235;SGP
2;The Chainsmokers ;Closer;17346570;SGP
3;Ed Sheeran ;Photograph;15112582;SGP
4;James Arthur ;Say You Won't Let Go;14819828;SGP
5;The Chainsmokers ;Something Just Like This;14452409;SGP
6;Ed Sheeran ;Perfect;12873358;SGP
7;Alan Walker ;Faded;12752605;SGP
8;Charlie Puth ;We Don't Talk Anymore;12541814;SGP
9;Camila Cabello ;Havana;12082521;SGP
10;Ed Sheeran ;Thinking Out Loud;11588429;SGP
11;Justin Bieber ;Love Yourself;11290730;SGP
12;Luis Fonsi ;Despacito ;11232232;SGP
13;Charlie Puth ;Attention;10971253;SGP
14;The Chainsmokers ;Don't Let Me Down;10671602;SGP
15;Dua Lipa ;New Rules;10134581;SGP
16;Eric Chou ;你,好不好? ;10125767;SGP
17;Shawn Mendes ;Treat You Better;9783125;SGP
18;DJ Snake ;Let Me Love You;9676700;SGP
19;Bruno Mars ;That's What I Like;8953866;SGP
20;Major Lazer ;Cold Water;8847273;SGP
21;JJ Lin ;不為誰而作的歌;8795805;SGP
22;Jay Chou ;告白氣球;8587076;SGP
23;Selena Gomez ;Wolves;8413554;SGP
24;Clean Bandit ;Symphony;8391483;SGP
25;ZAYN ;I Don’t Wanna Live Forever (Fifty Shades Darker);8360812;SGP
1;Ed Sheeran ;Shape of You;1688577;SVK
2;Post Malone ;rockstar;1242722;SVK
3;Imagine Dragons ;Thunder;1193051;SVK
4;Imagine Dragons ;Believer;1115360;SVK
5;Axwell /\ Ingrosso ;More Than You Know;1098464;SVK
6;Camila Cabello ;Havana;1059952;SVK
7;The Chainsmokers ;Something Just Like This;1000445;SVK
8;Dua Lipa ;New Rules;904457;SVK
9;Kygo ;It Ain't Me;896772;SVK
10;The Chainsmokers ;Closer;815491;SVK
11;Major Lazer ;Lean On;754814;SVK
12;The Weeknd ;Starboy;736697;SVK
13;Dua Lipa ;IDGAF;731356;SVK
14;Ego ;V Meste Snov;729102;SVK
15;Lauv ;I Like Me Better;725413;SVK
16;Ed Sheeran ;Perfect;719112;SVK
17;Sia ;Cheap Thrills;717589;SVK
18;The Chainsmokers ;Don't Let Me Down;70376;SVK
19;Portugal. The Man ;Feel It Still;68226;SVK
20;Selena Gomez ;Wolves;679912;SVK
21;Marshmello ;FRIENDS;67502;SVK
22;Ego ;Vozíme;671386;SVK
23;Calvin Harris ;One Kiss;666615;SVK
24;Shawn Mendes ;There's Nothing Holdin' Me Back;664519;SVK
25;Clean Bandit ;Symphony;663806;SVK
1;Danny Ocean ;Me Rehúso;86997229;ESP
2;Luis Fonsi ;Despacito (Featuring Daddy Yankee);84898078;ESP
3;Ed Sheeran ;Shape of You;75025268;ESP
4;Maluma ;Felices los 4;62333388;ESP
5;CNCO ;Reggaetón Lento (Bailemos);58975376;ESP
6;Zion & Lennox ;Otra Vez;55507579;ESP
7;Becky G ;Mayores;53540593;ESP
8;Carlos Vives ;La Bicicleta;53413322;ESP
9;Enrique Iglesias ;DUELE EL CORAZON;53390637;ESP
10;Gente De Zona ;La Gozadera;52011928;ESP
11;Natti Natasha ;Criminal;51185660;ESP
12;Becky G ;Sin Pijama;50648315;ESP
13;Shakira ;Chantaje;50342639;ESP
14;Nio Garcia ;Te Boté ;49551343;ESP
15;Morat ;Cómo Te Atreves;49220518;ESP
16;Luis Fonsi ;Échame La Culpa;48210269;ESP
17;J Balvin ;Mi Gente;47141319;ESP
18;Nicky Jam ;El Perdón;46793325;ESP
19;Enrique Iglesias ;SUBEME LA RADIO;45998091;ESP
20;Enrique Iglesias ;Bailando ;45703071;ESP
21;Drake ;One Dance;45652519;ESP
22;Wisin ;Escápate Conmigo;45174993;ESP
23;Reik ;Me Niego;44659460;ESP
24;Major Lazer ;Lean On;44010362;ESP
25;Sebastian Yatra ;Traicionera;43909151;ESP
1;Avicii ;Wake Me Up;94942758;SWE
2;Ed Sheeran ;Shape of You;76063214;SWE
3;Luis Fonsi ;Despacito ;60104827;SWE
4;Ed Sheeran ;Thinking Out Loud;54630199;SWE
5;Alan Walker ;Faded;54455505;SWE
6;Justin Bieber ;Love Yourself;51530372;SWE
7;Avicii ;Without You;50556337;SWE
8;Ed Sheeran ;I See Fire;50023277;SWE
9;Drake ;One Dance;47905783;SWE
10;Lukas Graham ;7 Years;47546299;SWE
11;Zara Larsson ;Lush Life;47401883;SWE
12;Post Malone ;rockstar;46443807;SWE
13;Justin Timberlake ;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";45840684;SWE
14;Mike Posner ;I Took A Pill In Ibiza ;45218932;SWE
15;Sam Smith ;Stay With Me;43916512;SWE
16;John Legend ;All of Me;43534705;SWE
17;Adele ;Hello;42854691;SWE
18;Axwell /\ Ingrosso ;More Than You Know;42592995;SWE
19;Mike Perry ;The Ocean;42539831;SWE
20;Major Lazer ;Lean On;41497424;SWE
21;Avicii ;Hey Brother;41477137;SWE
22;The Chainsmokers ;Something Just Like This;41217160;SWE
23;Justin Bieber ;What Do You Mean?;40902676;SWE
24;Justin Bieber ;Sorry;40294978;SWE
25;Laleh ;Bara Få Va Mig Själv;39671611;SWE
1;Ed Sheeran ;Shape of You;12879304;CHE
2;Luis Fonsi ;Despacito (Featuring Daddy Yankee);7610208;CHE
3;Drake ;One Dance;7555090;CHE
4;Post Malone ;rockstar;7521612;CHE
5;French Montana ;Unforgettable;7090460;CHE
6;Lo & Leduc ;079;6720455;CHE
7;Axwell /\ Ingrosso ;More Than You Know;6531512;CHE
8;Camila Cabello ;Havana;6511791;CHE
9;Alan Walker ;Faded;6504010;CHE
10;Major Lazer ;Lean On;6286600;CHE
11;Imagine Dragons ;Thunder;6164714;CHE
12;Ed Sheeran ;Perfect;5583508;CHE
13;Sia ;Cheap Thrills;5519089;CHE
14;The Chainsmokers ;Something Just Like This;5514424;CHE
15;Imagine Dragons ;Believer;5477306;CHE
16;Ed Sheeran ;Photograph;5322836;CHE
17;The Chainsmokers ;Don't Let Me Down;5275712;CHE
18;Drake ;God's Plan;5275658;CHE
19;Dua Lipa ;New Rules;5272925;CHE
20;Mike Posner ;I Took A Pill In Ibiza ;5194309;CHE
21;Robin Schulz ;Sugar;5132110;CHE
22;Ed Sheeran ;Thinking Out Loud;5097280;CHE
23;Kygo ;It Ain't Me;5052164;CHE
24;Robin Schulz ;OK;4849210;CHE
25;Martin Jensen ;Solo Dance;4757033;CHE
1;Ed Sheeran ;Shape of You;10447235;TWN
2;The Chainsmokers ;Something Just Like This;10306915;TWN
3;The Chainsmokers ;Closer;9179364;TWN
4;JJ Lin ;不為誰而作的歌;8299512;TWN
5;Alan Walker ;Faded;7956910;TWN
6;Joker Xue ;演員;7729282;TWN
7;Ed Sheeran ;Photograph;7341981;TWN
8;Crowd Lu ;魚仔 ;6740668;TWN
9;Eric Chou ;以後別做朋友;6666242;TWN
10;Eric Chou ;你,好不好? ;6591691;TWN
11;Charlie Puth ;We Don't Talk Anymore;6377750;TWN
12;JJ Lin ;可惜沒如果;6376512;TWN
13;Mayday ;後來的我們;6010881;TWN
14;Namewee ;飄向北方;5973663;TWN
15;G.E.M. ;光年之外 (電影 《Passengers》 中國區主題曲);5666373;TWN
16;Camila Cabello ;Havana;5650877;TWN
17;Zedd ;Stay;5467144;TWN
18;Ed Sheeran ;Thinking Out Loud;5382123;TWN
19;G.E.M. ;泡沫;4964483;TWN
20;Charlie Puth ;Attention;4939742;TWN
21;James Arthur ;Say You Won't Let Go;4893866;TWN
22;Luis Fonsi ;Despacito ;4881596;TWN
23;Maroon 5 ;Sugar;4860052;TWN
24;Rainie Yang ;年輪說;4764363;TWN
25;The Chainsmokers ;Don't Let Me Down;4724847;TWN
1;Pop Pongkool ;ภาพจำ;2864200;THA
2;Atom Chanakan ;Good Morning Teacher;2802445;THA
3;Camila Cabello ;Havana;2351268;THA
4;Fukking Hero ;นอนได้แล้ว;2286814;THA
5;Lipta ;หมอกร้าย;2263346;THA
6;Earth Patravee ;ถ้าฉันหายไป(Skyline);2091024;THA
7;O-Pavee;คนที่ไม่ใช่;2067948;THA
8;Room 39 ;บอกตัวเอง;2006454;THA
9;Ed Sheeran ;Perfect;1949819;THA
10;The Toys ;04:00;1925875;THA
11;Wonderframe ;อยู่ดีๆก็…;1920886;THA
12;D Gerrard ;Galaxy;1884513;THA
13;Dua Lipa ;New Rules;1819917;THA
14;meyou. ;พอจะรู้;1754735;THA
15;Ed Sheeran ;Shape of You;1683993;THA
16;HONNE ;Day 1 ◑;1657000;THA
17;Atom Chanakan ;อย่าบอก;1653818;THA
18;Non Tanon ;ฝืนตัวเองไม่เป็น;1587025;THA
19;BLACKPINK ;DDU-DU DDU-DU ;1586373;THA
20;Sam Smith ;Too Good At Goodbyes;1568878;THA
21;Illslick ;ถ้าเธอต้องเลือก;1513076;THA
22;Khalid ;Young Dumb & Broke;1505646;THA
23;Zedd ;The Middle;1498185;THA
24;BNK48 ;Koisuru Fortune Cookie คุกกี้เสี่ยงทาย;1496334;THA
25;Maroon 5 ;Girls Like You;1487379;THA
1;Ed Sheeran ;Shape of You;23666743;TUR
2;Ezhel ;Geceler;23012819;TUR
3;Gazapizm ;Heyecanı Yok;16933231;TUR
4;Ezhel ;İmkansızım;16328176;TUR
5;Dua Lipa ;New Rules;16260043;TUR
6;Imagine Dragons ;Believer;15241034;TUR
7;Post Malone ;rockstar;15126856;TUR
8;LP ;Lost on You;15035732;TUR
9;The Weeknd ;Starboy;14960717;TUR
10;Ezhel ;Şehrimin Tadı;14646393;TUR
11;Aleyna Tilki ;Yalnız Çiçek;14412823;TUR
12;Deeperise ;Raf;14074569;TUR
13;Camila Cabello ;Havana;13426580;TUR
14;Aleyna Tilki ;Sen Olsan Bari;13279076;TUR
15;Sia ;Cheap Thrills;13147893;TUR
16;Imagine Dragons ;Thunder;12275244;TUR
17;Yüzyüzeyken Konuşuruz ;Ne Farkeder;12257075;TUR
18;Sıla ;Yan Benimle;11898405;TUR
19;Luis Fonsi ;Despacito ;11762024;TUR
20;Burak King ;Yanıyoruz;11731343;TUR
21;Drake ;One Dance;11505650;TUR
22;Edis ;Çok Çok;11414373;TUR
23;Clean Bandit ;Rockabye;11275187;TUR
24;Pinhani ;Beni Sen İnandır;10617142;TUR
25;Charlie Puth ;Attention;10280968;TUR
1;Danny Ocean ;Me Rehúso;4001399;URY
2;Luis Fonsi ;Despacito (Featuring Daddy Yankee);3879164;URY
3;Ed Sheeran ;Shape of You;3598621;URY
4;Zion & Lennox ;Otra Vez;3486394;URY
5;Natti Natasha ;Criminal;3483146;URY
6;CNCO ;Reggaetón Lento (Bailemos);3319198;URY
7;Maluma ;Felices los 4;3244680;URY
8;Wisin ;Escápate Conmigo;2994677;URY
9;Becky G ;Mayores;2819571;URY
10;Ozuna ;Se Preparó;2732855;URY
11;Chris Jeday ;Ahora Dice;2680835;URY
12;Piso 21 ;Déjala Que Vuelva;2633377;URY
13;Sebastian Yatra ;Traicionera;2594589;URY
14;Rombai ;Cuando Se Pone a Bailar;2553453;URY
15;Shakira ;Chantaje;2529099;URY
16;Maluma ;Borro Cassette;2469979;URY
17;Nicky Jam ;El Amante;2466761;URY
18;CNCO ;Hey DJ;2464542;URY
19;Dame 5 ;Piel a Piel;2443018;URY
20;Luis Fonsi ;Échame La Culpa;2386220;URY
21;Reik ;Me Niego;2344057;URY
22;Daddy Yankee ;La Rompe Corazones;2342376;URY
23;Nacho ;Báilame ;2338304;URY
24;Piso 21 ;Me Llamas;2325093;URY
25;Joey Montana ;Suena El Dembow;2319701;URY
1;My Tam ;Nguoi Hay Quen Em DI;1040540;VNM
2;BTS ;FAKE LOVE;897615;VNM
3;Bich Phuong ;Bùa Yêu;81638;VNM
4;Zedd ;The Middle;627347;VNM
5;My Tam ;Muon Mang La Tu Luc;625448;VNM
6;Min ;Em mới là người yêu anh;617943;VNM
7;Marshmello ;FRIENDS;605402;VNM
8;My Tam ;Dau Chi Rieng Em;598402;VNM
9;Camila Cabello ;Havana;597104;VNM
10;Alan Walker ;All Falls Down;588147;VNM
11;Son Tung M-TP;CHẠY NGAY ĐI;578758;VNM
12;Maroon 5 ;Girls Like You;551036;VNM
13;Le Hieu ;Ngày Mai Em Đi;547203;VNM
14;My Tam ;Dung Hoi 'em;51845;VNM
15;SHAUN ;Way Back Home;508691;VNM
16;My Tam ;Neu Anh Di;483174;VNM
17;BTS ;The Truth Untold;482443;VNM
18;Ed Sheeran ;Shape of You;451849;VNM
19;Martin Garrix ;So Far Away;433184;VNM
20;Ariana Grande ;no tears left to cry;407652;VNM
21;My Tam ;Biet Khi Nao Gap Lai;399441;VNM
22;MOMOLAND ;BBoom BBoom;397706;VNM
23;Selena Gomez ;Back To You;394604;VNM
24;Selena Gomez ;Wolves;383973;VNM
25;BTS ;DNA;357973;VNM